date,All items
2018-10-31,2.5224699286070296
2018-11-30,2.176601032152403
2018-12-31,1.9101588486313714
2019-01-31,1.5512351381991252
2019-02-28,1.520135265933309
2019-03-31,1.8625227405691724
2019-04-30,1.9964397755302565
2019-05-31,1.7902284687663972
2019-06-30,1.6484846560762545
2019-07-31,1.8114648063935146
2019-08-31,1.7497798894291483
2019-09-30,1.7113045131695204
2019-10-31,1.7640429444213845
2019-11-30,2.0512779818916194
2019-12-31,2.2851297401217163
2020-01-31,2.4865719552504606
2020-02-29,2.3348735639459495
2020-03-31,1.5393269919198094
2020-04-30,0.3290966863368272
2020-05-31,0.11792637021070806
2020-06-30,0.6457330475554857
2020-07-31,0.9860818253037085
2020-08-31,1.3096453823307153
2020-09-30,1.3713248610564666
